Model,MAPE(%),RMSE,MAE,AIC,BIC,LjungBox_p,Family
HW_Multiplicative_Damped,5.4403,21069970.19,15960064.34,2805.3845,2846.0901,0.9954,holt_winters
SARIMA_1_0_1_1_1_1_12,5.8261,21485524.78,17885675.59,2095.6825,2105.7192,0.0,sarima
HW_Multiplicative,6.5918,25237369.89,19180283.43,2804.1441,2842.4552,0.9946,holt_winters
SARIMA_auto,8.4028,28538307.72,26380409.63,2629.6353,2634.1035,0.0,sarima
HW_Additive_Damped,9.2131,33232852.59,27219741.51,2816.522,2857.2276,0.9342,holt_winters
SARIMA_1_1_1_1_1_1_12,9.5173,35121415.79,28068649.38,2061.7405,2071.6854,0.003,sarima
SARIMA_2_1_1_1_1_1_12,9.5886,35177419.66,28371894.8,2063.6389,2075.5728,0.0013,sarima
HW_Additive,10.4585,40980720.57,29717938.07,2814.4906,2852.8018,0.9322,holt_winters
SARIMA_1_1_2_1_1_1_12,13.4355,47287554.08,40334604.89,2019.0272,2030.8489,0.0,sarima
baseline_mean,17.8132,61710893.23,60367364.5,,,,baseline
ARIMA_auto,25.7625,96406890.64,74444779.0,3072.5454,3074.9274,0.5567,arima
baseline_drift,27.9657,103511884.68,81228050.25,,,,baseline
Holts_Linear,28.8728,106431240.91,84027608.75,2888.6513,,0.1506,exponential_smoothing
Holts_Linear_Damped,30.1688,110615404.68,88028159.19,2889.2373,,0.1424,exponential_smoothing
